appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
convolutionSeparable,600,700,convolutionRowsKernel,0.910308,0.47582,1197442,1174486,1482981,1179654,9510912,737280,1,36864,320864256,2.1498,2.233291551,40.54377778,41.12502921
convolutionSeparable,600,800,convolutionRowsKernel,0.910728,0.583506,1180193,1178096,1462767,1179654,9510912,737280,1,36864,320864256,1.8357,1.9572903,41.71577778,42.04699361
convolutionSeparable,600,900,convolutionRowsKernel,0.909335,0.718511,1180126,1179204,1462641,1179655,9510912,737280,1,36864,320864256,1.6129,1.74125052,42.85413889,42.56358683
convolutionSeparable,600,1000,convolutionRowsKernel,0.906853,0.897109,1180069,1180570,1462737,1179654,9510912,737280,1,36864,320864256,1.4471,1.57819752,44.099,43.22497956
convolutionSeparable,700,500,convolutionRowsKernel,0.907917,0.262486,1228800,1177559,1506078,1179656,9510912,737280,1,36864,320864256,3.1605,3.140051657,39.08644444,40.3043834
convolutionSeparable,700,600,convolutionRowsKernel,0.905396,0.324675,1213138,1173468,1486892,1179654,9510912,737280,1,36864,320864256,2.5418,2.593743917,40.43325,40.91842131
convolutionSeparable,700,700,convolutionRowsKernel,0.90796,0.398983,1180341,1176529,1462734,1179655,9510912,737280,1,36864,320864256,2.1151,2.202837609,41.70788571,42.75850921
convolutionSeparable,700,800,convolutionRowsKernel,0.907767,0.475566,1180251,1177803,1462540,1179655,9510912,737280,1,36864,320864256,1.8276,1.926836357,42.92708333,43.6896438
convolutionSeparable,700,900,convolutionRowsKernel,0.909591,0.561193,1180185,1178672,1462707,1179654,9510912,737280,1,36864,320864256,1.6072,1.710796577,44.005,45.29048931
convolutionSeparable,700,1000,convolutionRowsKernel,0.909881,0.661402,1180126,1180081,1462570,1179654,9510912,737280,1,36864,320864256,1.4326,1.547743577,45.316,46.10446949
convolutionSeparable,800,500,convolutionRowsKernel,0.907144,0.227935,1180642,1179491,1462674,1179654,9510912,737280,1,36864,320864256,3.1769,3.1172112,41.231,42.01124313
convolutionSeparable,800,600,convolutionRowsKernel,0.904464,0.294515,1181112,1174120,1462667,1179654,9510912,737280,1,36864,320864256,2.5388,2.57090346,42.68562857,43.40223495
convolutionSeparable,800,700,convolutionRowsKernel,0.904534,0.347756,1180702,1175065,1462739,1179667,9510912,737280,1,36864,320864256,2.1018,2.179997151,43.66113889,44.51601817
convolutionSeparable,800,800,convolutionRowsKernel,0.90685,0.408651,1180505,1176037,1462633,1179654,9510912,737280,1,36864,320864256,1.8281,1.9039959,45.09011111,46.06732409
convolutionSeparable,800,900,convolutionRowsKernel,0.90864,0.475131,1180371,1178085,1462601,1179654,9510912,737280,1,36864,320864256,1.6039,1.68795612,46.34458333,48.08832677
convolutionSeparable,800,1000,convolutionRowsKernel,0.90871,0.55452,1180350,1179196,1462829,1179654,9510912,737280,1,36864,320864256,1.4292,1.52490312,47.56819444,48.89930146
