,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,g_load,g_store,sync,compute,shared,exec_rounds,abe
5,backprop,400,900,,0.4444444444444444,6182.746257966004,5611.1561999999985,3.2232419729171413,335.18827838646365,352.33447380703126,351.3050784442817,195.80292477719217,73.9384552001953,717.8112,33.16749585406302,0.10186671651842552
4,backprop,400,800,,0.5,6225.920180070036,5619.4950735,3.621344647514068,343.68607775149496,363.46776130027513,361.7934640770745,219.98724286963892,73.89556274414062,717.813432,33.16739272162296,0.10791451876695653
13,backprop,500,1000,,0.5,6212.92469109769,5833.61383359375,3.5545855566351583,344.0057090646339,363.11041318078117,361.77928771186424,215.5250438720373,73.92192077636719,716.48316,33.22897358815803,0.06502159181665754
12,backprop,500,900,,0.5555555555555556,6262.326804237187,5837.102057187501,3.959825381940016,353.22813305478013,374.0395725018493,373.02798503016294,240.1159548672848,73.95762634277344,716.541936,33.2262479051889,0.07284860584647264
3,backprop,400,700,,0.5714285714285714,6288.236076981626,5631.1933098750005,4.159961604473554,355.2972224117103,377.80720019646407,376.09779214579765,252.70681829190394,73.9109893798828,717.813432,33.16739272162296,0.11667913547816214
20,backprop,600,1000,,0.6,6283.3000447098175,5831.952345000001,4.215816261497316,360.4796002012093,382.6329633014053,381.55945344770856,255.08993582007773,73.95787353515625,715.02864,33.296568372422115,0.0773922132777333
11,backprop,500,800,,0.625,6323.377061372538,5852.4084346875015,4.486896065630588,365.15128776173736,388.954649314503,387.5865896650976,272.1028942620791,73.94279479980469,716.6103840000001,33.2230742556474,0.08047432641467459
2,backprop,400,600,,0.6666666666666666,6372.65958737674,5649.142813125001,4.903908965137692,370.873984952097,397.66933982517463,395.3944277103352,297.95680096915964,73.89509582519531,717.94884,33.16113721974953,0.12807549714812444
19,backprop,600,900,,0.6666666666666666,6339.476062940968,5840.81061825,4.697728306813754,371.34163628124236,396.03395600329964,394.8311379950548,284.26863464730224,73.95745239257812,715.076256,33.29435119714002,0.08537606802947105
27,backprop,700,1000,,0.7,6349.508346307787,5822.6497678125,4.871001048733661,376.6874237022244,402.2864904625203,401.043320852823,294.0572674709604,73.95769958496093,713.4141599999999,33.37191961538863,0.09048433265001649
10,backprop,500,700,,0.7142857142857143,6400.146186363589,5872.51,5.167355131331388,379.84990681201003,407.64604488037327,405.6876286396505,313.37321846856577,73.92056579589844,716.6207999999999,33.222591362126245,0.08984849516877594
18,backprop,600,800,,0.75,6410.566016866212,5861.4793455,5.313338030081198,384.9573368391959,412.88462938860124,411.5249998908525,321.5373735043358,73.9574981689453,715.1134559999999,33.29261923439461,0.09367714854915575
26,backprop,700,900,,0.7777777777777778,6415.300418521351,5838.963300625001,5.433169895421416,389.36545598345504,417.92906004486395,416.53230030368263,328.04002006342955,73.95714111328125,713.51088,33.36739588329753,0.09870538453883754
1,backprop,400,500,,0.8,6504.984944758132,5793.699871125,6.029368515980672,393.99845727171356,426.0456696646372,424.1464038619653,366.6056715100461,73.93976440429687,718.463688,33.13737409092274,0.1227687124730224
34,backprop,800,1000,,0.8,6417.981175069276,5861.961874999999,5.529430341091757,393.03056039917533,422.0961810819052,420.6787245735686,333.1565827848968,73.95736083984374,712.04892,33.43590493754278,0.09485208398242562
9,backprop,500,600,,0.8333333333333334,6504.606455823863,5900.522269687501,6.078984952971638,398.565799321676,430.5108949320857,428.96183718192356,368.70784761063516,73.95781860351562,716.714544,33.21824595204531,0.1023780876550027
17,backprop,600,700,,0.8571428571428571,6497.824794030817,5893.3661295,6.091847127367126,401.29724320029214,433.99035441947774,431.7575942876516,368.70548974517294,73.92431030273437,715.2213360000001,33.28759756126738,0.1025659446992648
25,backprop,700,800,,0.875,6498.921409688907,5867.60747125,6.151246163049932,405.25110173374134,437.5832514802289,436.00845887580306,371.4703110887341,73.95746154785157,713.65224,33.36078648054128,0.1075930763147003
33,backprop,800,900,,0.8888888888888888,6492.66532278154,5894.6751175,6.171916201296617,407.51893713022173,439.955023831433,438.3796482483139,371.8937976174183,73.9576904296875,712.098768,33.4335643731938,0.10144582922072135
41,backprop,900,1000,,0.9,6483.797369527824,5806.292523749999,6.185872965940357,409.2992168398407,441.813749372637,440.22971433671154,371.83133937316296,73.95744323730469,710.4009599999999,33.51346822504294,0.11668458711071926
0,backprop,400,400,,1.0,6700.770851036241,6583.712112000001,7.6828857304785885,424.25879093198995,466.81688534105854,462.67462636277594,468.80255755584557,73.87251892089843,720.9717119999999,33.022100040452074,0.01778005129095471
8,backprop,500,500,,1.0,6669.432138682264,6523.8632053125,7.410702157593321,424.90957358724904,464.80858774883745,461.96444131530797,451.0060847548369,73.91912841796875,719.1079920000001,33.10768377609687,0.02231330253081093
16,backprop,600,600,,1.0,6621.468742724565,6045.957274875,7.133572260449567,422.2539485160915,459.92355533026665,457.9231160144319,432.2867176566244,73.95013732910157,716.087352,33.24734047250705,0.09518946986959387
24,backprop,700,700,,1.0,6611.469338757584,6007.4539844374995,7.097564536174227,425.66121029671024,462.9645782028686,461.15033258046276,428.99088213441,73.95758056640625,714.263064,33.332256979201716,0.10054431642502897
32,backprop,800,800,,1.0,6591.193881070194,5975.491078499999,6.993275232297112,425.69476178262744,462.44637803560977,460.66241845105253,421.70725224153955,73.95773620605469,712.633704,33.40846758491232,0.10303802557508827
40,backprop,900,900,,1.0,6572.4533394728605,5924.294145000001,6.908401430583463,425.5921248608798,461.90571701200247,460.13666194596163,415.6532016953653,73.95733337402343,711.058656,33.48246983438733,0.10940699070789633
48,backprop,1000,1000,,1.0,6556.371511140788,5964.216015624999,6.844307274606135,425.6405232110798,461.6113599205615,459.8633128142023,410.93220876735234,73.95764465332032,709.59,33.551769331585845,0.09928471637587662
47,backprop,1000,900,,1.1111111111111112,6660.812729888824,6191.0145,7.649094472448514,443.80906302478803,483.99878916696906,482.0559359780595,460.1964482750456,73.95806579589843,711.0259199999999,33.48401138456387,0.0758838846022447
39,backprop,900,800,,1.125,6690.752492418702,6250.457836125,7.829921103957091,445.9582475255537,487.11097281506795,485.10928674671317,472.15902545965685,73.9575714111328,712.634448,33.408432706020406,0.07044198486533028
31,backprop,800,700,,1.1428571428571428,6707.357437624871,6306.4072625,7.925819393718211,444.2369376946808,485.89707425827464,483.8674859241472,479.06797380768296,73.95744323730469,714.2861280000001,33.33118069458014,0.0635782242464825
23,backprop,700,600,,1.1666666666666667,6750.577483522741,6696.78836465625,8.18950954444198,446.29692544518605,490.4405012452257,487.2459727113799,496.913756854808,73.91724243164062,716.993544,33.20531990731565,0.008032076860958377
15,backprop,600,500,,1.2,6850.822401904733,7295.891164875,8.872832752749005,458.4419311553784,505.074667697521,502.8077195833238,540.8271234488885,73.95761718749999,720.2053920000001,33.057236538989976,0.061002659293080665
7,backprop,500,400,,1.25,6936.436274107007,7740.175433906251,9.590137644783354,466.3211170906075,517.7446011303507,514.2735613211731,586.5383422742333,73.92568359375,722.6166959999999,32.94692764751729,0.10383991508492449
46,backprop,1000,800,,1.25,6773.120995146174,6713.6965475,8.528150770372829,461.819894645507,506.6525456466656,504.46221004841556,514.3896727831252,73.95721435546875,712.8063119999999,33.400377633019616,0.008851226329003885
38,backprop,900,700,,1.2857142857142858,6830.546668253461,7025.720435156249,8.881610086516368,467.07142342083415,513.755169601902,511.4811001247941,537.774811767781,73.95745239257812,715.510008,33.274167703884864,0.027779893706864726
30,backprop,800,600,,1.3333333333333333,6897.589201513624,7452.28335875,9.36182883212648,474.03028147690713,523.2318803079567,520.8411398395962,568.7366437543524,73.95765380859375,717.850632,33.16567394204091,0.07443277859061666
22,backprop,700,500,,1.4,7018.422440324369,8306.090842218753,10.259476206766447,489.71545214438436,544.8573189064541,541.0147117444166,626.1294309858032,73.92190246582031,721.091496,33.016614579517935,0.15502700685012225
45,backprop,1000,700,,1.4285714285714286,6945.741253119374,7756.272504375,9.821375342401709,489.4194287990951,541.0344008744221,538.5281038586395,595.0835748183441,73.95770874023437,715.9913760000001,33.2517971557244,0.104500099860911
14,backprop,600,400,,1.5,7130.6671316812535,9126.534285,11.253870038807408,501.6145350453794,563.1502073577964,557.8859458845651,688.9248310201417,73.89393310546875,723.2691840000001,32.91720500012344,0.21868839704016368
37,backprop,900,600,,1.5,7039.0953378830945,8366.7945245625,10.465796171802054,499.6883077497666,554.7011291004654,552.0192049532907,637.0900200328546,73.95738830566405,719.279856,33.099773059680956,0.15868672079631724
29,backprop,800,500,,1.6,7183.955357484927,9255.114155250001,11.635389831537587,520.7657538477629,581.9165308203656,578.94483350896,710.621846399937,73.95764465332032,721.612296,32.99278592115343,0.22378533241431722
44,backprop,1000,600,,1.6666666666666667,7175.087425524908,9261.845734375001,11.6070559988474,526.4555628429996,587.4599084922152,584.4929681526661,706.7148257745581,73.95758056640625,719.432376,33.092755892320305,0.2253069602644283
21,backprop,700,400,,1.75,7352.887233112832,10421.4629176875,13.106799342717949,542.2407236856849,611.1246179973966,607.777120325912,803.2794520946023,73.95764465332032,724.089072,32.87993276053751,0.2944476901958385
36,backprop,900,500,,1.8,7349.072140811897,10417.521653437501,13.002839549038065,551.6476321883732,619.9760302483086,616.6689726066556,794.9041504920899,73.95774536132812,722.29752,32.96148656304399,0.2945469771702465
