,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
185,dxtc,1600,4500,,0.35555555555555557,30637.96837368308,33613.116635,836.5072899033564,577.2176445717593,77.20349583193126,1349.2527830123902,2660.1499986609374,59.614823039452446,0.08851152642653237
190,dxtc,1800,5000,,0.36,30639.88566083019,33600.4639425,837.7993940675879,578.1337165668066,77.08107788195329,1349.2103178024292,2660.2107067406255,59.613462582771895,0.08811123223584663
199,dxtc,2000,5500,,0.36363636363636365,30639.486565192365,34708.2435,837.4829240989799,578.9470888933367,76.95463403012232,1349.258246421814,2660.05460025,59.616961025411726,0.1172273939707618
181,dxtc,1700,4500,,0.37777777777777777,30668.766517515538,33786.338092499995,857.5336209386213,581.9615162269604,82.0289961044006,1349.2582548141481,2660.15867124375,59.61462868469637,0.09227314207444416
194,dxtc,1900,5000,,0.38,30665.241120194878,34604.01761796875,855.8043803079211,582.5681684801306,81.35693170168321,1349.252380180359,2660.011237335938,59.61793288790664,0.11382425420245396
184,dxtc,1600,4000,,0.4,30708.245943174148,33674.90679,883.6112866926575,586.7438006720886,88.374459357888,1349.2579191207888,2660.36681323125,59.60996455069921,0.08809707671430952
189,dxtc,1800,4500,,0.4,30699.06342852293,33786.5684625,878.5624495745442,586.7833509609375,86.85303773559467,1349.2583723068237,2660.1239809125004,59.61540611132432,0.09138261665738312
198,dxtc,2000,5000,,0.4,30695.02647101339,34764.29952187499,874.8997380486817,586.8152406297851,85.6465246930944,1349.236216545105,2660.2367244890625,59.6128795489168,0.11705321570771376
193,dxtc,1900,4500,,0.4222222222222222,30727.643485854354,34434.098272656236,899.594898150662,591.6052489253111,91.67127795262577,1349.258271598816,2659.933184090625,59.619682320249,0.10763908372025352
180,dxtc,1700,4000,,0.425,30742.880606658142,33626.09610445313,907.5871459042245,592.1635964880601,93.89689548412801,1349.2580030441286,2660.3407954828126,59.61054752753611,0.08574339075338455
197,dxtc,2000,4500,,0.4444444444444444,30761.36905664203,33841.349128124995,920.6352189111328,596.495340872215,96.50669035557927,1349.2541425704958,2660.2107067406255,59.613462582771895,0.09101233109300728
188,dxtc,1800,4000,,0.45,30775.035523715396,34024.653691875,931.5543926923447,597.5849845167694,99.41033877429602,1349.2584394454957,2660.08929058125,59.616183558229174,0.09550775145539844
192,dxtc,1900,4000,,0.475,30807.47481956068,34426.82653921876,955.5270584317723,603.0063725454788,104.923763092236,1349.2585653305055,2659.8638034281253,59.621237457415056,0.10513172672290731
196,dxtc,2000,4000,,0.5,30844.2073263235,34439.526646875,979.5130227662278,608.4283033739853,110.45327585952002,1349.2580366134644,2660.028582501563,59.61754413910636,0.10439514333097645
207,eigenvalues,1600,5500,,0.2909090909090909,1399968.7861286947,85468414.36671999,1292.8385719008265,649.4873758677686,49.567354951223,72438.373046875,238976.8322436,0.03571471429085721,0.9836200449428973
203,eigenvalues,1700,5500,,0.3090909090909091,1400050.1681830923,85988368.12719999,1327.0300692561984,597.6061249256198,52.66531463567445,72444.371484375,238976.8322436,0.03571471429085721,0.9837181446900813
206,eigenvalues,1600,5000,,0.32,1400091.4881043932,85643132.27007999,1381.95037556,601.8588892399999,55.16192111837184,72443.099609375,238976.8322436,0.03571471429085721,0.9836520284698471
211,eigenvalues,1800,5500,,0.32727272727272727,1400108.5947356315,86011607.84831998,1371.9612976528927,601.9535619834711,55.76327432012588,72444.74960937501,238976.8322436,0.03571471429085721,0.9837218646440756
202,eigenvalues,1700,5000,,0.34,1400157.8707996807,85407655.09583999,1426.57126349,607.2482316275,58.60954118827008,72443.907421875,238976.8322436,0.03571471429085721,0.983606178284271
215,eigenvalues,1900,5500,,0.34545454545454546,1400164.3418938755,85927608.85632,1430.4591814876032,609.5797150082644,58.86123400457731,72443.907421875,238976.8322436,0.03571471429085721,0.9837053030972257
205,eigenvalues,1600,4500,,0.35555555555555557,1400211.7222027783,85038339.52768001,1480.7607872592594,775.7853697777778,62.15721326637511,72433.130859375,238976.8322436,0.03571471429085721,0.983534347801476
