appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
convolutionTexture,1700,4000,input00,convolutionRowsKernel,0.324171,(192 128 1) (16 12 1),0.829069,1,0.9869,1.36577,589847,58.935,588972,58.859,1176753,117.78,589837,59.022,0,0,0,0,0.95,2006.5,20054016,1,294912,294912,250085376,0.0822,0,0,59.051,589824,14013460,95,1.192814
convolutionTexture,1700,4500,input00,convolutionRowsKernel,0.313221,(192 128 1) (16 12 1),0.82992,1,0.9865,1.417328,589855,61.269,588970,61.191,1176749,122.28,589840,61.275,0,0,0,0,0.95,2084.4,20054016,1,294912,294912,250085376,0.0855,0,0,61.294,589824,14013399,95,1.242498
convolutionTexture,1700,5000,input00,convolutionRowsKernel,0.299598,(192 128 1) (16 12 1),0.830982,1,0.9861,1.447146,589851,62.733,588972,62.605,1176763,125.1,589837,62.689,0,0,0,0,0.95,2130.3,20054016,1,294912,294912,250085376,0.0874,0,0,62.707,589824,14013228,95,1.271587
convolutionTexture,1800,3500,input00,convolutionRowsKernel,0.33983,(192 128 1) (16 12 1),0.8285,1,0.9875,1.28636,589870,55.38,588971,55.312,1176765,110.89,589837,55.568,0,0,0,0,0.95,1889.5,20054016,1,294912,294912,250085376,0.0774,0,0,55.574,589824,14013750,95,1.11949
convolutionTexture,1800,4000,input00,convolutionRowsKernel,0.314048,(192 128 1) (16 12 1),0.82926,1,0.9869,1.36599,589855,58.901,588969,58.851,1176754,117.79,589837,59.024,0,0,0,0,0.95,2006.6,20054016,1,294912,294912,250085376,0.0822,0,0,59.065,589824,14013313,95,1.193373
convolutionTexture,1800,4500,input00,convolutionRowsKernel,0.307897,(192 128 1) (16 12 1),0.830246,1,0.9862,1.416562,589849,61.311,588971,61.247,1176749,122.41,589837,61.341,0,0,0,0,0.95,2085.2,20054016,1,294912,294912,250085376,0.0855,0,0,61.339,589824,14013489,95,1.242166
convolutionTexture,1800,5000,input00,convolutionRowsKernel,0.296628,(192 128 1) (16 12 1),0.83129,1,0.9861,1.44665,589855,62.758,588971,62.647,1176770,125.16,589837,62.719,0,0,0,0,0.95,2132.4,20054016,1,294912,294912,250085376,0.0874,0,0,62.737,589824,14013145,95,1.271724
convolutionTexture,1900,3500,input00,convolutionRowsKernel,0.327234,(192 128 1) (16 12 1),0.828199,1,0.9873,1.283686,589847,55.517,588972,55.412,1176773,111.13,589837,55.691,0,0,0,0,0.95,1893.7,20054016,1,294912,294912,250085376,0.0772,0,0,55.681,589824,14013660,95,1.117834
convolutionTexture,1900,4000,input00,convolutionRowsKernel,0.30154,(192 128 1) (16 12 1),0.829091,1,0.9868,1.364654,589856,59.087,588970,58.983,1176754,118.05,589837,59.157,0,0,0,0,0.95,2010.8,20054016,1,294912,294912,250085376,0.0822,0,0,59.159,589824,14013329,95,1.191473
convolutionTexture,1900,4500,input00,convolutionRowsKernel,0.284333,(192 128 1) (16 12 1),0.829958,1,0.9864,1.415688,589863,61.467,588971,61.389,1176764,122.68,589837,61.476,0,0,0,0,0.95,2090.4,20054016,1,294912,294912,250085376,0.0853,0,0,61.496,589824,14013313,95,1.241408
