,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
41,hotspot,1202,715,20.890625,7.453125,11.448333740234375,1.000396728515625,0.16745930574622475,0.8325406942537752,35.20263671875,344.63330128125,0.714275,324.13495804195804,4.003549347156341,28.34375,7.9375,29.800994873046875,13.651741027832031
42,hotspot,1328,715,20.890625,7.453125,11.483795166015625,1.000396728515625,0.1664776255127334,0.8335223744872666,35.23809814453125,344.59783985546875,0.7141,329.04234965034965,4.423222573230965,28.34375,7.9375,29.800994873046875,13.651741027832031
48,matrixMulGlobal,607,715,0.0,0.0,4041.233856201172,4.00128173828125,0.11302366242232945,0.8869763375776706,4045.235137939453,31317.764862060547,0.9179729999999999,300.9611643356643,2.0217591129150567,0.0,16384.0,2048.0,0.0
49,matrixMulGlobal,810,715,0.0,0.0,3895.7962493896484,4.000099182128906,0.11149184408294308,0.8885081559170569,3899.7963485717773,31463.203651428223,0.923291,308.8675174825175,2.69789931047973,0.0,16384.0,2048.0,0.0
45,matrixMulGlobal,1012,715,0.0,0.0,3853.6650009155273,4.000099182128906,0.11180636197227121,0.8881936380277288,3857.6651000976562,31505.334899902344,0.9249280000000001,316.73492307692305,3.370708768154922,0.0,16384.0,2048.0,0.0
46,matrixMulGlobal,1202,715,0.0,0.0,3828.9871215820312,4.000099182128906,0.11184269678232209,0.8881573032176779,3832.98722076416,31530.01277923584,0.926515,324.13495804195804,4.003549347156341,0.0,16384.0,2048.0,0.0
47,matrixMulGlobal,1328,715,0.0,0.0,3809.672119140625,4.000099182128906,0.10929973993311742,0.8907002600668825,3813.672218322754,31549.327781677246,0.928143,329.04234965034965,4.423222573230965,0.0,16384.0,2048.0,0.0
53,matrixMulShared,607,715,3072.0,128.0,510.69915771484375,4.000099182128906,0.4750201893162797,0.5249798106837202,3618.6992568969727,2570.3007431030273,0.996375,300.9611643356643,2.0217591129150567,3200.0,512.0,2048.0,0.0
54,matrixMulShared,810,715,3072.0,128.0,510.4859924316406,4.000732421875,0.4762936658049751,0.5237063341950249,3618.4867248535156,2570.5132751464844,0.9966010000000001,308.8675174825175,2.69789931047973,3200.0,512.0,2048.0,0.0
50,matrixMulShared,1012,715,3072.0,128.0,510.2062301635742,4.000244140625,0.4779421802739725,0.5220578197260275,3618.206474304199,2570.793525695801,0.9957370000000001,316.73492307692305,3.370708768154922,3200.0,512.0,2048.0,0.0
51,matrixMulShared,1202,715,3072.0,128.0,509.88275146484375,4.000396728515625,0.4878457339581635,0.5121542660418366,3617.8831481933594,2571.1168518066406,0.9963879999999999,324.13495804195804,4.003549347156341,3200.0,512.0,2048.0,0.0
52,matrixMulShared,1328,715,3072.0,128.0,510.08512115478516,4.000419616699219,0.4841609552193442,0.5158390447806558,3618.0855407714844,2570.9144592285156,0.9962479999999999,329.04234965034965,4.423222573230965,3200.0,512.0,2048.0,0.0
58,mergeSort,607,715,231.19338989257812,87.20462036132812,16.005767822265625,16.000198364257812,0.999693927609589,0.0003060723904110274,285.0005111694336,1274.9994888305664,0.98069,300.9611643356643,2.0217591129150567,318.39801025390625,16.0,0.0,0.0
59,mergeSort,810,715,231.19338989257812,87.20462036132812,16.003890991210938,16.000198364257812,0.9996834205833834,0.0003165794166165581,284.9986343383789,1275.001365661621,0.980727,308.8675174825175,2.69789931047973,318.39801025390625,16.0,0.0,0.0
55,mergeSort,1012,715,231.19338989257812,87.20462036132812,16.004104614257812,16.000457763671875,0.9996467140352743,0.0003532859647257247,284.99910736083984,1275.0008926391602,0.980815,316.73492307692305,3.370708768154922,318.39801025390625,16.0,0.0,0.0
56,mergeSort,1202,715,231.19338989257812,87.20462036132812,16.005508422851562,16.000198364257812,0.9995361201720503,0.00046387982794970917,285.00025177001953,1274.9997482299805,0.980822,324.13495804195804,4.003549347156341,318.39801025390625,16.0,0.0,0.0
57,mergeSort,1328,715,231.19338989257812,87.20462036132812,16.004364013671875,16.000198364257812,0.9995523137370075,0.00044768626299251935,284.99910736083984,1275.0008926391602,0.98009,329.04234965034965,4.423222573230965,318.39801025390625,16.0,0.0,0.0
63,nn,607,715,0.0,0.0,8.000572204589844,4.000049591064453,1.0,0.0,12.000621795654297,28.999378204345703,0.8178890000000001,300.9611643356643,2.0217591129150567,0.0,8.0,10.0,0.0
