,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
448,nn,600,800,0.0,0.0,16.004791259765625,4.00018310546875,0.5943147685130804,0.4056852314869196,20.004974365234375,20.995025634765625,0.902344,444.405,6.886865625,0.0,8.0,10.0,0.0
449,nn,600,900,0.0,0.0,16.005828857421875,4.00018310546875,0.5949673331228253,0.40503266687717465,20.006011962890625,20.993988037109375,0.8990030000000001,425.84000000000003,6.047118518518519,0.0,8.0,10.0,0.0
444,nn,600,1000,0.0,0.0,16.005218505859375,4.00018310546875,0.5963233196600649,0.4036766803399351,20.005401611328125,20.994598388671875,0.894891,410.988,5.388738,0.0,8.0,10.0,0.0
451,nn,700,500,0.0,0.0,16.005523681640625,4.00018310546875,0.5938979203626895,0.4061020796373105,20.005706787109375,20.994293212890625,0.9145139999999999,589.212,13.700764000000001,0.0,8.0,10.0,0.0
452,nn,700,600,0.0,0.0,16.00616455078125,4.00018310546875,0.5926967149098187,0.4073032850901813,20.00634765625,20.99365234375,0.911826,537.23,11.10423611111111,0.0,8.0,10.0,0.0
453,nn,700,700,0.0,0.0,16.005889892578125,4.00018310546875,0.5921206176713308,0.40787938232866916,20.006072998046875,20.993927001953125,0.9075290000000001,500.1,9.326242857142857,0.0,8.0,10.0,0.0
454,nn,700,800,0.0,0.0,16.00506591796875,4.00018310546875,0.5945278033719178,0.4054721966280822,20.0052490234375,20.9947509765625,0.902892,472.2525,8.0346765625,0.0,8.0,10.0,0.0
455,nn,700,900,0.0,0.0,16.006561279296875,4.00018310546875,0.5943354063037214,0.4056645936962786,20.006744384765625,20.993255615234375,0.899963,450.59333333333336,7.054971604938272,0.0,8.0,10.0,0.0
450,nn,700,1000,0.0,0.0,16.0045166015625,4.00018310546875,0.596156603825395,0.40384339617460496,20.00469970703125,20.99530029296875,0.8953690000000001,433.26599999999996,6.286861,0.0,8.0,10.0,0.0
457,nn,800,500,0.0,0.0,16.0045166015625,4.00018310546875,0.5944617506262261,0.4055382493737739,20.00469970703125,20.99530029296875,0.9140030000000001,633.768,15.658016000000002,0.0,8.0,10.0,0.0
458,nn,800,600,0.0,0.0,16.0074462890625,4.00018310546875,0.592576379249859,0.40742362075014105,20.00762939453125,20.99237060546875,0.9098450000000001,574.36,12.690555555555555,0.0,8.0,10.0,0.0
459,nn,800,700,0.0,0.0,16.004852294921875,4.00018310546875,0.5947431448075969,0.40525685519240306,20.005035400390625,20.994964599609375,0.907741,531.9257142857143,10.658563265306121,0.0,8.0,10.0,0.0
460,nn,800,800,0.0,0.0,16.00555419921875,4.00018310546875,0.5931541244882145,0.4068458755117855,20.0057373046875,20.9942626953125,0.903914,500.1,9.1824875,0.0,8.0,10.0,0.0
461,nn,800,900,0.0,0.0,16.005859375,4.00018310546875,0.5956894737002676,0.4043105262997324,20.00604248046875,20.99395751953125,0.900616,475.3466666666667,8.062824691358024,0.0,8.0,10.0,0.0
456,nn,800,1000,0.0,0.0,16.004791259765625,4.00018310546875,0.5960965519135103,0.4039034480864897,20.004974365234375,20.995025634765625,0.898767,455.544,7.184984,0.0,8.0,10.0,0.0
463,nn,900,500,0.0,0.0,16.03692626953125,4.00018310546875,0.5928026610780778,0.4071973389219222,20.037109375,20.962890625,0.91705,678.3240000000001,17.615268,0.0,8.0,10.0,0.0
464,nn,900,600,0.0,0.0,16.004852294921875,4.00018310546875,0.593281720758171,0.406718279241829,20.005035400390625,20.994964599609375,0.910985,611.49,14.276875,0.0,8.0,10.0,0.0
465,nn,900,700,0.0,0.0,16.007232666015625,4.00018310546875,0.5934033248780131,0.40659667512198694,20.007415771484375,20.992584228515625,0.9089809999999999,563.7514285714285,11.990883673469387,0.0,8.0,10.0,0.0
466,nn,900,800,0.0,0.0,16.004180908203125,4.00018310546875,0.5935075812010013,0.40649241879899867,20.004364013671875,20.995635986328125,0.9053770000000001,527.9475,10.3302984375,0.0,8.0,10.0,0.0
467,nn,900,900,0.0,0.0,16.0045166015625,4.00018310546875,0.5944724292692452,0.40552757073075485,20.00469970703125,20.99530029296875,0.9029159999999999,500.1,9.070677777777778,0.0,8.0,10.0,0.0
462,nn,900,1000,0.0,0.0,16.005828857421875,4.00018310546875,0.5946058084956762,0.40539419150432376,20.006011962890625,20.993988037109375,0.8990549999999999,477.822,8.083107,0.0,8.0,10.0,0.0
433,nn,1000,500,0.0,0.0,16.067779541015625,4.00018310546875,0.5939837618444403,0.40601623815555965,20.067962646484375,20.932037353515625,0.9175129999999999,722.88,19.57252,0.0,8.0,10.0,0.0
434,nn,1000,600,0.0,0.0,16.02130126953125,4.00018310546875,0.6033024217149546,0.39669757828504537,20.021484375,20.978515625,0.912574,648.62,15.863194444444444,0.0,8.0,10.0,0.0
435,nn,1000,700,0.0,0.0,16.134521484375,4.00018310546875,0.5938260677140961,0.4061739322859039,20.13470458984375,20.86529541015625,0.909742,595.5771428571429,13.323204081632653,0.0,8.0,10.0,0.0
436,nn,1000,800,0.0,0.0,16.013580322265625,4.00018310546875,0.5983507443455508,0.4016492556544492,20.013763427734375,20.986236572265625,0.906482,555.7950000000001,11.478109375,0.0,8.0,10.0,0.0
437,nn,1000,900,0.0,0.0,16.013275146484375,4.00018310546875,0.593626725180352,0.406373274819648,20.013458251953125,20.986541748046875,0.9028430000000001,524.8533333333334,10.078530864197532,0.0,8.0,10.0,0.0
432,nn,1000,1000,0.0,0.0,16.01397705078125,4.00018310546875,0.5947815267510795,0.40521847324892046,20.01416015625,20.98583984375,0.900758,500.1,8.98123,0.0,8.0,10.0,0.0
475,quasirandomGenerator,500,500,0.0,0.0,0.166015625,2048.00390625,0.9982580994402714,0.0017419005597285597,2048.169921875,35384.830078125,0.732896,500.1,9.78626,0.0,0.0,512.0,0.0
476,quasirandomGenerator,500,600,0.0,0.0,0.2669270833333333,2048.0078125,0.9980163056434054,0.001983694356594623,2048.2747395833335,35384.725260416664,0.732267,462.97,7.931597222222222,0.0,0.0,512.0,0.0
477,quasirandomGenerator,500,700,0.0,0.0,0.2721354166666667,2048.00390625,0.9977420035649899,0.0022579964350101234,2048.2760416666665,35384.723958333336,0.712533,436.4485714285714,6.661602040816327,0.0,0.0,512.0,0.0
478,quasirandomGenerator,500,800,0.0,0.0,0.22135416666666666,2048.00390625,0.9975458301362269,0.0024541698637731146,2048.2252604166665,35384.774739583336,0.708147,416.5575,5.7390546875,0.0,0.0,512.0,0.0
479,quasirandomGenerator,500,900,0.0,0.0,0.134765625,2048.00390625,0.997577513373582,0.0024224866264179745,2048.138671875,35384.861328125,0.709629,401.08666666666664,5.039265432098766,0.0,0.0,512.0,0.0
474,quasirandomGenerator,500,1000,0.0,0.0,0.166015625,2048.00390625,0.9976379446972001,0.0023620553027998703,2048.169921875,35384.830078125,0.710034,388.71,4.490615,0.0,0.0,512.0,0.0
481,quasirandomGenerator,600,500,0.0,0.0,0.17447916666666666,2048.00390625,0.9983458370337972,0.001654162966202799,2048.1783854166665,35384.821614583336,0.737156,544.656,11.743512,0.0,0.0,512.0,0.0
482,quasirandomGenerator,600,600,0.0,0.0,0.203125,2048.00390625,0.9981074656886771,0.0018925343113228577,2048.20703125,35384.79296875,0.7325689999999999,500.1,9.517916666666666,0.0,0.0,512.0,0.0
483,quasirandomGenerator,600,700,0.0,0.0,0.19140625,2048.00390625,0.9980527827470067,0.001947217252993294,2048.1953125,35384.8046875,0.7324890000000001,468.2742857142857,7.993922448979591,0.0,0.0,512.0,0.0
484,quasirandomGenerator,600,800,0.0,0.0,0.166015625,2048.00390625,0.9978970047257,0.0021029952743000235,2048.169921875,35384.830078125,0.717685,444.405,6.886865625,0.0,0.0,512.0,0.0
485,quasirandomGenerator,600,900,0.0,0.0,0.16536458333333334,2048.00390625,0.997569920800715,0.0024300791992849513,2048.1692708333335,35384.830729166664,0.7114779999999999,425.84000000000003,6.047118518518519,0.0,0.0,512.0,0.0
480,quasirandomGenerator,600,1000,0.0,0.0,0.28515625,2048.00390625,0.997470894788969,0.002529105211031002,2048.2890625,35384.7109375,0.709438,410.988,5.388738,0.0,0.0,512.0,0.0
487,quasirandomGenerator,700,500,0.0,0.0,0.19921875,2048.00390625,0.9983277389988684,0.001672261001131603,2048.203125,35384.796875,0.737129,589.212,13.700764000000001,0.0,0.0,512.0,0.0
488,quasirandomGenerator,700,600,0.0,0.0,0.19986979166666666,2048.00390625,0.9981614988488707,0.0018385011511292682,2048.2037760416665,35384.796223958336,0.737967,537.23,11.10423611111111,0.0,0.0,512.0,0.0
489,quasirandomGenerator,700,700,0.0,0.0,0.22591145833333334,2048.00390625,0.9981020831949337,0.0018979168050663464,2048.2298177083335,35384.770182291664,0.732342,500.1,9.326242857142857,0.0,0.0,512.0,0.0
490,quasirandomGenerator,700,800,0.0,0.0,0.28515625,2048.00390625,0.9981339227480253,0.0018660772519747404,2048.2890625,35384.7109375,0.73395,472.2525,8.0346765625,0.0,0.0,512.0,0.0
491,quasirandomGenerator,700,900,0.0,0.0,0.21158854166666666,2048.00390625,0.997862404996219,0.0021375950037809677,2048.2154947916665,35384.784505208336,0.7190770000000001,450.59333333333336,7.054971604938272,0.0,0.0,512.0,0.0
486,quasirandomGenerator,700,1000,0.0,0.0,0.16015625,2048.00390625,0.998132537396932,0.0018674626030680264,2048.1640625,35384.8359375,0.7118140000000001,433.26599999999996,6.286861,0.0,0.0,512.0,0.0
493,quasirandomGenerator,800,500,0.0,0.0,0.2421875,2048.00390625,0.9988617675310367,0.001138232468963274,2048.24609375,35384.75390625,0.738692,633.768,15.658016000000002,0.0,0.0,512.0,0.0
494,quasirandomGenerator,800,600,0.0,0.0,0.22135416666666666,2048.00390625,0.998882098768179,0.0011179012318209836,2048.2252604166665,35384.774739583336,0.7365149999999999,574.36,12.690555555555555,0.0,0.0,512.0,0.0
495,quasirandomGenerator,800,700,0.0,0.0,0.16666666666666666,2048.00390625,0.9987129647583114,0.0012870352416886055,2048.1705729166665,35384.829427083336,0.7362350000000001,531.9257142857143,10.658563265306121,0.0,0.0,512.0,0.0
496,quasirandomGenerator,800,800,0.0,0.0,0.2545572916666667,2048.00390625,0.9986844133656482,0.0013155866343518285,2048.2584635416665,35384.741536458336,0.732794,500.1,9.1824875,0.0,0.0,512.0,0.0
497,quasirandomGenerator,800,900,0.0,0.0,0.166015625,2048.00390625,0.998586136188016,0.0014138638119840508,2048.169921875,35384.830078125,0.731942,475.3466666666667,8.062824691358024,0.0,0.0,512.0,0.0
492,quasirandomGenerator,800,1000,0.0,0.0,0.22135416666666666,2048.00390625,0.9985734601284013,0.0014265398715986866,2048.2252604166665,35384.774739583336,0.720785,455.544,7.184984,0.0,0.0,512.0,0.0
